(22.8,2.8,0);(22.8,-3.9,0);(19.9,-9.7,0);(15.5,-14.4,0);(9.8,-17.8,0);(3.3,-17.9,0);(-3.5,-14.6,0);(-8.9,-9.5,0);(-12.2,-3.0,0);(-12.0,3.4,0);(-9.4,9.1,0);(-5.1,14.0,0);(0.8,17.0,0);(8.1,17.5,0);(14.9,14.7,0);(19.5,10.1,0);(23.0,3.2,0);(22.9,-4.2,0);(19.5,-10.0,0)
(22.8,2.8,2);(22.8,-3.9,2);(19.9,-9.7,2);(15.5,-14.4,2);(9.8,-17.8,2);(3.3,-17.9,2);(-3.5,-14.6,2);(-8.9,-9.5,2);(-12.2,-3.0,2);(-12.0,3.4,2);(-9.4,9.1,2);(-5.1,14.0,2);(0.8,17.0,2);(8.1,17.5,2);(14.9,14.7,2);(19.5,10.1,2);(23.0,3.2,2);(22.9,-4.2,2);(19.5,-10.0,2)
(22.8,2.8,4);(22.8,-3.9,4);(19.9,-9.7,4);(15.5,-14.4,4);(9.8,-17.8,4);(3.3,-17.9,4);(-3.5,-14.6,4);(-8.9,-9.5,4);(-12.2,-3.0,4);(-12.0,3.4,4);(-9.4,9.1,4);(-5.1,14.0,4);(0.8,17.0,4);(8.1,17.5,4);(14.9,14.7,4);(19.5,10.1,4);(23.0,3.2,4);(22.9,-4.2,4);(19.5,-10.0,4)
(22.8,2.8,6);(22.8,-3.9,6);(19.9,-9.7,6);(15.5,-14.4,6);(9.8,-17.8,6);(3.3,-17.9,6);(-3.5,-14.6,6);(-8.9,-9.5,6);(-12.2,-3.0,6);(-12.0,3.4,6);(-9.4,9.1,6);(-5.1,14.0,6);(0.8,17.0,6);(8.1,17.5,6);(14.9,14.7,6);(19.5,10.1,6);(23.0,3.2,6);(22.9,-4.2,6);(19.5,-10.0,6)
(22.8,2.8,8);(22.8,-3.9,8);(19.9,-9.7,8);(15.5,-14.4,8);(9.8,-17.8,8);(3.3,-17.9,8);(-3.5,-14.6,8);(-8.9,-9.5,8);(-12.2,-3.0,8);(-12.0,3.4,8);(-9.4,9.1,8);(-5.1,14.0,8);(0.8,17.0,8);(8.1,17.5,8);(14.9,14.7,8);(19.5,10.1,8);(23.0,3.2,8);(22.9,-4.2,8);(19.5,-10.0,8)
(22.8,2.8,10);(22.8,-3.9,10);(19.9,-9.7,10);(15.5,-14.4,10);(9.8,-17.8,10);(3.3,-17.9,10);(-3.5,-14.6,10);(-8.9,-9.5,10);(-12.2,-3.0,10);(-12.0,3.4,10);(-9.4,9.1,10);(-5.1,14.0,10);(0.8,17.0,10);(8.1,17.5,10);(14.9,14.7,10);(19.5,10.1,10);(23.0,3.2,10);(22.9,-4.2,10);(19.5,-10.0,10)
(22.8,2.8,12);(22.8,-3.9,12);(19.9,-9.7,12);(15.5,-14.4,12);(9.8,-17.8,12);(3.3,-17.9,12);(-3.5,-14.6,12);(-8.9,-9.5,12);(-12.2,-3.0,12);(-12.0,3.4,12);(-9.4,9.1,12);(-5.1,14.0,12);(0.8,17.0,12);(8.1,17.5,12);(14.9,14.7,12);(19.5,10.1,12);(23.0,3.2,12);(22.9,-4.2,12);(19.5,-10.0,12)
(22.8,2.8,14);(22.8,-3.9,14);(19.9,-9.7,14);(15.5,-14.4,14);(9.8,-17.8,14);(3.3,-17.9,14);(-3.5,-14.6,14);(-8.9,-9.5,14);(-12.2,-3.0,14);(-12.0,3.4,14);(-9.4,9.1,14);(-5.1,14.0,14);(0.8,17.0,14);(8.1,17.5,14);(14.9,14.7,14);(19.5,10.1,14);(23.0,3.2,14);(22.9,-4.2,14);(19.5,-10.0,14)
(22.8,2.8,16);(22.8,-3.9,16);(19.9,-9.7,16);(15.5,-14.4,16);(9.8,-17.8,16);(3.3,-17.9,16);(-3.5,-14.6,16);(-8.9,-9.5,16);(-12.2,-3.0,16);(-12.0,3.4,16);(-9.4,9.1,16);(-5.1,14.0,16);(0.8,17.0,16);(8.1,17.5,16);(14.9,14.7,16);(19.5,10.1,16);(23.0,3.2,16);(22.9,-4.2,16);(19.5,-10.0,16)
(22.8,2.8,18);(22.8,-3.9,18);(19.9,-9.7,18);(15.5,-14.4,18);(9.8,-17.8,18);(3.3,-17.9,18);(-3.5,-14.6,18);(-8.9,-9.5,18);(-12.2,-3.0,18);(-12.0,3.4,18);(-9.4,9.1,18);(-5.1,14.0,18);(0.8,17.0,18);(8.1,17.5,18);(14.9,14.7,18);(19.5,10.1,18);(23.0,3.2,18);(22.9,-4.2,18);(19.5,-10.0,18)
